RunDate,RunTime,PremiseId,Year,RateClass,Strata,RecipeICap
2016-09-29,14:18,7669020005,2014,GS1,GS1,0.
2016-09-29,14:18,7669020005,2015,GS1,GS1,0.
2016-09-29,14:18,8291003004,2014,GS1,GS1,0.
2016-09-29,14:18,8291003004,2015,GS1,GS1,0.
2016-09-29,14:18,7289020003,2014,GS1,GS1,0.
2016-09-29,14:18,7289020003,2015,GS1,GS1,0.
2016-09-29,14:18,8988018004,2014,GS1,GS1,0.
2016-09-29,14:18,8988018004,2015,GS1,GS1,0.
2016-09-29,14:18,3668017000,2014,GS3,GS3,0.
2016-09-29,14:18,1029015004,2014,GS1,GS1,0.
2016-09-29,14:18,1029015004,2015,GS1,GS1,4.90949
2016-09-29,14:18,0410010007,2014,GS1,GS1,0.
2016-09-29,14:18,0410010007,2015,GS1,GS1,0.0899952
2016-09-29,14:18,8552021000,2014,GS1,GS1,0.
2016-09-29,14:18,8552021000,2015,GS1,GS1,0.
2016-09-29,14:18,8140054000,2014,GS1,GS1,0.
2016-09-29,14:18,8140054000,2015,GS1,GS1,0.
2016-09-29,14:18,8042010004,2014,GS1,GS1,0.
2016-09-29,14:18,8042010004,2015,GS1,GS1,0.
2016-09-29,14:18,8697169018,2015,GS1,GS1,0.173547
2016-09-29,14:18,7764003006,2014,GS1,GS1,0.
2016-09-29,14:18,7764003006,2015,GS1,GS1,0.
2016-09-29,14:18,3173123015,2014,GS1,GS1,0.
2016-09-29,14:18,3173123015,2015,GS1,GS1,8.99949
2016-09-29,14:18,7725024007,2014,GS1,GS1,0.
2016-09-29,14:18,7725024007,2015,GS1,GS1,0.
2016-09-29,14:18,7550010017,2014,GS1,GS1,0.
2016-09-29,14:18,7550010017,2015,GS1,GS1,0.0645511
2016-09-29,14:18,6615001008,2014,GS1,GS1,0.
2016-09-29,14:18,6615001008,2015,GS1,GS1,0.
2016-09-29,14:18,8090010001,2014,GH2,GH2,0.
2016-09-29,14:18,8090010001,2015,GH2,GH2,1.16952
2016-09-29,14:18,8455002005,2014,GS1,GS1,0.
2016-09-29,14:18,8455002005,2015,GS1,GS1,0.
2016-09-29,14:18,8015002005,2014,GS1,GS1,0.
2016-09-29,14:18,8015002005,2015,GS1,GS1,0.
2016-09-29,14:18,8430010001,2014,GH2,GH2,0.
2016-09-29,14:18,8430010001,2015,GH2,GH2,0.0508007
2016-09-29,14:18,9650010002,2014,GS1,GS1,0.
2016-09-29,14:18,9650010002,2015,GS1,GS1,0.0773895
2016-09-29,14:18,3275012008,2014,GS1,GS1,0.
2016-09-29,14:18,3275012008,2015,GS1,GS1,0.
2016-09-29,14:18,9830010000,2014,GS1,GS1,0.
2016-09-29,14:18,9830010000,2015,GS1,GS1,2.68112
2016-09-29,14:18,9850010006,2014,GS1,GS1,0.
2016-09-29,14:18,9850010006,2015,GS1,GS1,0.0514447
2016-09-29,14:18,8289828000,2014,GS1,GS1,0.
2016-09-29,14:18,8289828000,2015,GS1,GS1,2.8955
2016-09-29,14:18,8946003003,2014,GS1,GS1,0.
2016-09-29,14:18,8946003003,2015,GS1,GS1,0.
2016-09-29,14:18,7509020005,2014,GS1,GS1,0.
2016-09-29,14:18,7509020005,2015,GS1,GS1,0.
2016-09-29,14:18,8170363003,2014,GS1,GS1,0.
2016-09-29,14:18,8170363003,2015,GS1,GS1,0.
2016-09-29,14:18,6632011008,2014,GS1,GS1,0.
2016-09-29,14:18,6632011008,2015,GS1,GS1,0.
2016-09-29,14:18,0070010007,2014,GS1,GS1,0.
2016-09-29,14:18,0070010007,2015,GS1,GS1,0.128186
2016-09-29,14:18,9885594006,2014,GS1,GS1,0.
2016-09-29,14:18,9885594006,2015,GS1,GS1,0.
2016-09-29,14:18,0970010005,2014,GH2,GH2,0.
2016-09-29,14:18,0970010005,2015,GH2,GH2,0.470884
2016-09-29,14:18,1150010004,2014,GH2,GH2,0.
2016-09-29,14:18,1150010004,2015,GH2,GH2,0.0517647
2016-09-29,14:18,3193123011,2014,GS1,GS1,0.
2016-09-29,14:18,3193123011,2015,GS1,GS1,6.54309
2016-09-29,14:18,9573022008,2014,GS1,GS1,0.
2016-09-29,14:18,9573022008,2015,GS1,GS1,0.
2016-09-29,14:18,4977016009,2014,GS1,GS1,0.
2016-09-29,14:18,4977016009,2015,GS1,GS1,0.
2016-09-29,14:18,7530010002,2014,GH2,GH2,0.
2016-09-29,14:18,7530010002,2015,GH2,GH2,1.73976
2016-09-29,14:18,7736900009,2014,GS1,GS1,0.
2016-09-29,14:18,7736900009,2015,GS1,GS1,0.
2016-09-29,14:18,8070010005,2014,GH2,GH2,0.
2016-09-29,14:18,8070010005,2015,GH2,GH2,0.85431
2016-09-29,14:18,8495003004,2014,GS1,GS1,0.
2016-09-29,14:18,8495003004,2015,GS1,GS1,0.
2016-09-29,14:18,9557014006,2014,GS1,GS1,0.
2016-09-29,14:18,9557014006,2015,GS1,GS1,0.
2016-09-29,14:18,8970006009,2014,GS1,GS1,0.
2016-09-29,14:18,8970006009,2015,GS1,GS1,0.0030858
2016-09-29,14:18,8323381002,2014,GS1,GS1,0.
2016-09-29,14:18,8323381002,2015,GS1,GS1,0.
2016-09-29,14:18,9993172007,2014,GS1,GS1,0.
2016-09-29,14:18,9993172007,2015,GS1,GS1,19.2307
2016-09-29,14:18,1809043008,2014,GS3,GS3,0.
2016-09-29,14:18,1809043008,2015,GS3,GS3,42.1626
2016-09-29,14:18,8134095013,2014,GS3,GS3,0.
2016-09-29,14:18,8134095013,2015,GS3,GS3,330.753
2016-09-29,14:18,3057016004,2014,GS1,GS1,0.
2016-09-29,14:18,3057016004,2015,GS1,GS1,0.
2016-09-29,14:18,2058028034,2014,GS3,GS3,0.
2016-09-29,14:18,2058028034,2015,GS3,GS3,25.861
2016-09-29,14:18,8132000007,2014,GS1,GS1,0.
2016-09-29,14:18,8132000007,2015,GS1,GS1,0.
2016-09-29,14:18,0832078047,2015,GS1,GS1,0.935406
2016-09-29,14:18,4156008001,2014,GS1,GS1,0.
2016-09-29,14:18,4156008001,2015,GS1,GS1,0.
2016-09-29,14:18,8618011008,2014,GS1,GS1,0.
2016-09-29,14:18,8618011008,2015,GS1,GS1,0.
2016-09-29,14:18,4335002003,2014,GS1,GS1,0.
2016-09-29,14:18,4335002003,2015,GS1,GS1,0.
2016-09-29,14:18,6528535002,2014,GS1,GS1,0.
2016-09-29,14:18,6528535002,2015,GS1,GS1,0.
2016-09-29,14:18,7997017005,2014,GS1,GS1,0.
2016-09-29,14:18,7997017005,2015,GS1,GS1,0.
2016-09-29,14:18,8093374002,2014,GS1,GS1,0.
2016-09-29,14:18,8093374002,2015,GS1,GS1,0.
2016-09-29,14:18,9886689004,2014,GS1,GS1,0.
2016-09-29,14:18,9886689004,2015,GS1,GS1,1.0126
2016-09-29,14:18,8916018005,2014,GS1,GS1,0.
2016-09-29,14:18,8916018005,2015,GS1,GS1,0.
2016-09-29,14:18,9936015001,2014,GS1,GS1,0.
2016-09-29,14:18,9936015001,2015,GS1,GS1,0.
2016-09-29,14:18,7804233008,2014,GS1,GS1,0.
2016-09-29,14:18,7804233008,2015,GS1,GS1,0.
2016-09-29,14:18,9476016000,2014,GS1,GS1,0.
2016-09-29,14:18,9476016000,2015,GS1,GS1,0.
2016-09-29,14:18,9997055007,2014,GS3,GS3,0.
2016-09-29,14:18,9997055007,2015,GS3,GS3,24.4794
2016-09-29,14:18,4892035026,2015,GS3,GS3,48.9575
2016-09-29,14:18,3003349007,2014,GS1,GS1,0.
2016-09-29,14:18,3003349007,2015,GS1,GS1,0.
2016-09-29,14:18,1618009001,2014,GS1,GS1,0.
2016-09-29,14:18,1618009001,2015,GS1,GS1,0.
2016-09-29,14:18,3097016006,2014,GS1,GS1,0.
2016-09-29,14:18,3097016006,2015,GS1,GS1,0.
2016-09-29,14:18,5518098091,2014,GS3,GS3,0.
2016-09-29,14:18,5518098091,2015,GS3,GS3,84.5128
2016-09-29,14:18,6497010005,2014,GS1,GS1,0.
2016-09-29,14:18,6497010005,2015,GS1,GS1,0.
2016-09-29,14:18,9633942005,2014,GS1,GS1,0.
2016-09-29,14:18,9633942005,2015,GS1,GS1,0.
2016-09-29,14:18,2157006009,2014,GS1,GS1,0.
2016-09-29,14:18,2157006009,2015,GS1,GS1,0.
2016-09-29,14:18,9956015007,2014,GS1,GS1,0.
2016-09-29,14:18,9956015007,2015,GS1,GS1,0.
2016-09-29,14:18,7659435003,2014,GS1,GS1,0.
2016-09-29,14:18,7659435003,2015,GS1,GS1,7.56378
2016-09-29,14:18,8597009006,2014,GS1,GS1,0.
2016-09-29,14:18,8597009006,2015,GS1,GS1,0.
2016-09-29,14:18,8997014005,2014,GS1,GS1,0.
2016-09-29,14:18,8997014005,2015,GS1,GS1,0.
2016-09-29,14:18,9150227007,2014,GS1,GS1,0.
2016-09-29,14:18,9150227007,2015,GS1,GS1,8.51154
2016-09-29,14:18,1098001016,2014,GS1,GS1,0.
2016-09-29,14:18,1098001016,2015,GS1,GS1,0.
2016-09-29,14:18,4118021000,2014,GS1,GS1,0.
2016-09-29,14:18,4118021000,2015,GS1,GS1,0.
2016-09-29,14:18,9958005009,2014,GS1,GS1,0.
2016-09-29,14:18,9958005009,2015,GS1,GS1,0.
